,layer,pos,prob
0,0,0,0.022017832845449448
1,0,1,0.03628009185194969
2,0,2,0.024556394666433334
3,0,3,0.02496904321014881
4,0,4,0.025739245116710663
5,0,5,0.025953881442546844
6,0,6,0.025343026965856552
7,1,0,0.02598392404615879
8,1,1,0.033150218427181244
9,1,2,0.024538876488804817
10,1,3,0.024908198043704033
11,1,4,0.0256026703864336
12,1,5,0.025910278782248497
13,1,6,0.025188028812408447
14,2,0,0.018463877961039543
15,2,1,0.029476337134838104
16,2,2,0.024608222767710686
17,2,3,0.0250084325671196
18,2,4,0.025357689708471298
19,2,5,0.025861050933599472
20,2,6,0.025245126336812973
21,3,0,0.020772289484739304
22,3,1,0.028519416227936745
23,3,2,0.024756625294685364
24,3,3,0.023858485743403435
25,3,4,0.02507687360048294
26,3,5,0.02580977976322174
27,3,6,0.025093114003539085
28,4,0,0.023171991109848022
29,4,1,0.02738744206726551
30,4,2,0.02524079568684101
31,4,3,0.023193996399641037
32,4,4,0.024564633145928383
33,4,5,0.025674249976873398
34,4,6,0.025293555110692978
35,5,0,0.024609657004475594
36,5,1,0.027718694880604744
37,5,2,0.025143509730696678
38,5,3,0.024335423484444618
39,5,4,0.02416531927883625
40,5,5,0.02600858174264431
41,5,6,0.026517247781157494
42,6,0,0.027627790346741676
43,6,1,0.028004828840494156
44,6,2,0.024028001353144646
45,6,3,0.02478334680199623
46,6,4,0.0243951715528965
47,6,5,0.026284856721758842
48,6,6,0.026515258476138115
49,7,0,0.027077656239271164
50,7,1,0.027146916836500168
51,7,2,0.025260278955101967
52,7,3,0.313734769821167
53,7,4,0.024599269032478333
54,7,5,0.026296740397810936
55,7,6,0.02578841522336006
56,8,0,0.02657606080174446
57,8,1,0.02664497122168541
58,8,2,0.02538095787167549
59,8,3,0.6032370924949646
60,8,4,0.024610143154859543
61,8,5,0.026287741959095
62,8,6,0.025746777653694153
63,9,0,0.02697940357029438
64,9,1,0.025815382599830627
65,9,2,0.02522405795753002
66,9,3,0.712421178817749
67,9,4,0.02475045621395111
68,9,5,0.02656233124434948
69,9,6,0.025294115766882896
70,10,0,0.027218671515583992
71,10,1,0.025111248716711998
72,10,2,0.024664700031280518
73,10,3,0.9356080889701843
74,10,4,0.024884143844246864
75,10,5,0.026412902399897575
76,10,6,0.025253424420952797
77,11,0,0.027195429429411888
78,11,1,0.024733219295740128
79,11,2,0.024469533935189247
80,11,3,0.9749172329902649
81,11,4,0.025026770308613777
82,11,5,0.026108769699931145
83,11,6,0.025026442483067513
84,12,0,0.027187282219529152
85,12,1,0.02526659145951271
86,12,2,0.024177344515919685
87,12,3,0.9781566858291626
88,12,4,0.024847235530614853
89,12,5,0.02612319588661194
90,12,6,0.024853305891156197
91,13,0,0.027268651872873306
92,13,1,0.02680465206503868
93,13,2,0.023326033726334572
94,13,3,0.9812657237052917
95,13,4,0.025211498141288757
96,13,5,0.026249751448631287
97,13,6,0.024592796340584755
98,14,0,0.02723837085068226
99,14,1,0.029981378465890884
100,14,2,0.02359684556722641
101,14,3,0.9838719367980957
102,14,4,0.024900399148464203
103,14,5,0.025905095040798187
104,14,6,0.02474100887775421
105,15,0,0.02723027393221855
106,15,1,0.03126949444413185
107,15,2,0.02481977269053459
108,15,3,0.9836265444755554
109,15,4,0.026004616171121597
110,15,5,0.025577036663889885
111,15,6,0.02462899498641491
112,16,0,0.0272575281560421
113,16,1,0.03146076574921608
114,16,2,0.024192342534661293
115,16,3,0.9799057841300964
116,16,4,0.02877064049243927
117,16,5,0.02570102922618389
118,16,6,0.024581914767622948
119,17,0,0.027303170412778854
120,17,1,0.03307288885116577
121,17,2,0.02482943795621395
122,17,3,0.9693648219108582
123,17,4,0.03051198646426201
124,17,5,0.02628912590444088
125,17,6,0.025930888950824738
126,18,0,0.027337146922945976
127,18,1,0.03318065404891968
128,18,2,0.02479764074087143
129,18,3,0.9567722678184509
130,18,4,0.029433060437440872
131,18,5,0.02766254171729088
132,18,6,0.026660485193133354
133,19,0,0.027394914999604225
134,19,1,0.033474087715148926
135,19,2,0.025408944115042686
136,19,3,0.9584104418754578
137,19,4,0.029723450541496277
138,19,5,0.028140950947999954
139,19,6,0.027617888525128365
140,20,0,0.027365893125534058
141,20,1,0.03363611549139023
142,20,2,0.02577565237879753
143,20,3,0.9510414600372314
144,20,4,0.029988858848810196
145,20,5,0.028622740879654884
146,20,6,0.027702631428837776
147,21,0,0.02743757702410221
148,21,1,0.03422173112630844
149,21,2,0.02631264366209507
150,21,3,0.9466922879219055
151,21,4,0.03149458020925522
152,21,5,0.03066975437104702
153,21,6,0.029914164915680885
154,22,0,0.027425365522503853
155,22,1,0.034861672669649124
156,22,2,0.02723526582121849
157,22,3,0.9385920166969299
158,22,4,0.030018402263522148
159,22,5,0.02946890890598297
160,22,6,0.03243262693285942
161,23,0,0.02739812433719635
162,23,1,0.03478327766060829
163,23,2,0.02768706902861595
