,layer,pos,prob
0,0,0,0.017120473086833954
1,0,1,0.026620827615261078
2,0,2,0.030329657718539238
3,0,3,0.026831135153770447
4,0,4,0.02442731335759163
5,0,5,0.025438468903303146
6,0,6,0.025293555110692978
7,1,0,0.017142875120043755
8,1,1,0.022419041022658348
9,1,2,0.024459190666675568
10,1,3,0.026912489905953407
11,1,4,0.024107666686177254
12,1,5,0.02551148273050785
13,1,6,0.026517247781157494
14,2,0,0.017358291894197464
15,2,1,0.02520740032196045
16,2,2,0.027224775403738022
17,2,3,0.02604246325790882
18,2,4,0.024228200316429138
19,2,5,0.02563794143497944
20,2,6,0.026515258476138115
21,3,0,0.017639396712183952
22,3,1,0.024139348417520523
23,3,2,0.030590929090976715
24,3,3,0.026304306462407112
25,3,4,0.024224985390901566
26,3,5,0.025655226781964302
27,3,6,0.02578841522336006
28,4,0,0.01766072027385235
29,4,1,0.023890294134616852
30,4,2,0.03263138607144356
31,4,3,0.026646044105291367
32,4,4,0.024289587512612343
33,4,5,0.025666028261184692
34,4,6,0.025746777653694153
35,5,0,0.017667265608906746
36,5,1,0.024318192154169083
37,5,2,0.029224643483757973
38,5,3,0.027072204276919365
39,5,4,0.024217957630753517
40,5,5,0.02575187385082245
41,5,6,0.025294115766882896
42,6,0,0.023744432255625725
43,6,1,0.01905505731701851
44,6,2,0.028430258855223656
45,6,3,0.02640482224524021
46,6,4,0.024692825973033905
47,6,5,0.0256635881960392
48,6,6,0.026125788688659668
49,7,0,0.029728464782238007
50,7,1,0.010762248188257217
51,7,2,0.03324083983898163
52,7,3,0.02162611298263073
53,7,4,0.0250075776129961
54,7,5,0.025362351909279823
55,7,6,0.025854073464870453
56,8,0,0.024815881624817848
57,8,1,0.011006593704223633
58,8,2,0.042258430272340775
59,8,3,0.03146382421255112
60,8,4,0.025106661021709442
61,8,5,0.025548724457621574
62,8,6,0.025567734614014626
63,9,0,0.02604540064930916
64,9,1,0.016894880682229996
65,9,2,0.034251850098371506
