,layer,pos,prob
0,0,0,0.024242453277111053
1,0,1,0.03770902380347252
2,0,2,0.02504768967628479
3,0,3,0.024671513587236404
4,0,4,0.025698374956846237
5,0,5,0.025574276223778725
6,0,6,0.025633972138166428
7,1,0,0.02430780790746212
8,1,1,0.03909510374069214
9,1,2,0.025020338594913483
10,1,3,0.02318553440272808
11,1,4,0.02571888081729412
12,1,5,0.025633646175265312
13,1,6,0.026048239320516586
14,2,0,0.02451937459409237
15,2,1,0.040469300001859665
16,2,2,0.02493617869913578
17,2,3,0.02230486273765564
18,2,4,0.025556370615959167
19,2,5,0.025445548817515373
20,2,6,0.025728629902005196
21,3,0,0.02453765645623207
22,3,1,0.03946191072463989
23,3,2,0.024952635169029236
24,3,3,0.022512955591082573
25,3,4,0.025855084881186485
26,3,5,0.026241986081004143
27,3,6,0.026604505255818367
28,4,0,0.024555860087275505
29,4,1,0.03954949975013733
30,4,2,0.025306720286607742
31,4,3,0.02346794679760933
32,4,4,0.025364771485328674
33,4,5,0.026144200935959816
34,4,6,0.026186799630522728
35,5,0,0.0245556328445673
36,5,1,0.0406513474881649
37,5,2,0.02517223358154297
38,5,3,0.025113625451922417
39,5,4,0.02499236911535263
40,5,5,0.026437200605869293
41,5,6,0.026031704619526863
42,6,0,0.027316806837916374
43,6,1,0.03593111410737038
44,6,2,0.030144773423671722
45,6,3,0.026454921811819077
46,6,4,0.02519199624657631
47,6,5,0.026501581072807312
48,6,6,0.026419924572110176
49,7,0,0.018719835206866264
50,7,1,0.030353374779224396
51,7,2,0.025211822241544724
52,7,3,0.027576124295592308
53,7,4,0.025404570624232292
54,7,5,0.026820845901966095
55,7,6,0.027213353663682938
56,8,0,0.020797906443476677
57,8,1,0.029093144461512566
58,8,2,0.026949375867843628
59,8,3,0.030618581920862198
60,8,4,0.024784473702311516
61,8,5,0.026634447276592255
62,8,6,0.026691574603319168
63,9,0,0.023910613730549812
64,9,1,0.029208626598119736
65,9,2,0.026888463646173477
66,9,3,0.04155496135354042
67,9,4,0.02506934478878975
68,9,5,0.02658497542142868
69,9,6,0.027719834819436073
70,10,0,0.028503142297267914
71,10,1,0.025154726579785347
72,10,2,0.03469110652804375
73,10,3,0.5973107814788818
74,10,4,0.024924593046307564
75,10,5,0.02720673941075802
76,10,6,0.028405074030160904
77,11,0,0.028081953525543213
78,11,1,0.023705223575234413
79,11,2,0.030297687277197838
80,11,3,0.8354335427284241
81,11,4,0.02714044786989689
82,11,5,0.027704183012247086
83,11,6,0.02760903351008892
84,12,0,0.027186283841729164
85,12,1,0.021787190809845924
86,12,2,0.030740652233362198
87,12,3,0.9423887133598328
88,12,4,0.026744822040200233
89,12,5,0.027493104338645935
90,12,6,0.027326451614499092
91,13,0,0.026460759341716766
92,13,1,0.0259179025888443
93,13,2,0.031509000808000565
